Position,PosSum,Age,TimePlayed,TeamStatus,CategoryN4,CategoryN3,CategoryN2,WinLose,PA%,Shots_PM,ShotsOT_PM,KeyPasses_PM,AerialsWon_PM,Touches_PM,TotalTackles_PM,Interceptions_PM,Clearances_PM,BlockedShots_PM,Fouls_PM,Dribbles_PM,Fouled_PM,Offsides_PM,Disp_PM,UnsTouchesRating_PM,Passes_PM,Crosses_PM,AccCrosses_PM,LB_PM,AccLB_PM,ThB_PM,AccThB_PM
Sub,SUB,37,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,11,2,1,1,1,2,90,0,0,0,0.022,0.244,0,0,0,0,0,0,0.011,0,0,0,0.222,0,0,0.011,0,0,0
Sub,SUB,30,5,2,1,1,1,2,100,0,0,0,0,0.078,0.011,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0
Sub,SUB,39,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,33,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,24,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,26,90,1,2,2,1,2,46.4,0,0,0,0,0.389,0,0,0,0,0,0,0,0,0,0,0.311,0,0,0.267,0.1,0,0
DC,DF,31,90,1,2,2,1,2,89.6,0.011,0,0,0.011,0.911,0,0.011,0.067,0.022,0,0.011,0,0,0,0,0.744,0,0,0.089,0.033,0,0
DC,DF,30,90,1,2,2,1,2,89.5,0.011,0,0.011,0.033,1,0,0.033,0.089,0,0.011,0.011,0,0,0,0,0.844,0,0,0.1,0.056,0,0
DC,DF,32,26,1,2,2,1,2,87.5,0,0,0,0.011,0.278,0,0,0,0,0,0,0,0,0.011,0,0.267,0,0,0,0,0,0
DMR,MD,27,90,1,2,2,1,2,75,0.011,0,0,0.056,0.856,0,0,0.056,0.011,0,0,0.011,0,0.033,0.033,0.444,0.1,0.011,0.056,0.022,0,0
DML,MD,26,76,1,2,2,1,2,87.1,0,0,0.011,0.033,0.622,0.011,0.033,0.022,0,0.011,0.011,0,0,0.011,0,0.344,0.067,0.011,0.033,0.011,0,0
MC,MD,25,90,1,2,2,1,2,77.6,0.033,0.011,0,0.056,1.056,0.011,0.011,0.022,0.011,0,0.022,0.011,0,0,0.022,0.844,0,0,0.067,0.033,0.011,0
MC,MD,28,90,1,2,2,1,2,92.7,0.022,0,0.033,0.011,1.433,0,0.011,0,0,0.011,0.033,0.011,0,0.011,0,1.211,0.089,0.033,0.122,0.089,0,0
FWR,FW,29,45,1,2,2,1,2,100,0.011,0.011,0,0,0.3,0.011,0.011,0,0,0,0,0.011,0,0.033,0.022,0.111,0.022,0,0,0,0,0
FW,FW,25,90,1,2,2,1,2,67.7,0.056,0.033,0.044,0.089,0.578,0,0,0.022,0,0.044,0,0,0.011,0.022,0.011,0.378,0,0,0,0,0,0
FWL,FW,33,90,1,2,2,1,2,95.4,0.033,0.011,0.044,0.022,0.656,0,0,0,0,0.033,0,0.011,0,0.011,0.022,0.478,0.056,0.022,0.022,0.011,0,0
Sub,SUB,26,45,1,2,2,1,2,77.3,0.044,0.022,0.022,0,0.478,0.011,0.011,0.011,0,0,0.022,0,0,0.011,0.011,0.244,0.033,0.011,0.011,0.011,0,0
Sub,SUB,19,14,1,2,2,1,2,50,0,0,0.011,0,0.144,0.011,0,0.011,0.011,0,0,0,0,0,0,0.067,0,0,0.022,0,0,0
Sub,SUB,29,64,1,2,2,1,2,98.3,0.033,0,0.011,0.011,0.722,0.011,0,0,0,0,0.011,0,0,0,0.011,0.633,0,0,0,0,0,0
Sub,SUB,27,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,25,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,31,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,2,2,2,1,1,63.6,0,0,0,0.011,0.311,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0.2,0.111,0,0
DR,DF,28,90,2,2,2,1,1,76.1,0,0,0.022,0.011,0.867,0.033,0.022,0.044,0.022,0,0,0.022,0,0,0.011,0.511,0.044,0.022,0.078,0.044,0,0
DC,DF,28,90,2,2,2,1,1,80.6,0.011,0.011,0,0.111,0.644,0,0.022,0.1,0.033,0,0,0.022,0,0,0.022,0.4,0,0,0.089,0.044,0,0
DC,DF,28,90,2,2,2,1,1,80.6,0,0,0,0.022,0.589,0.022,0.022,0.078,0.011,0,0,0.011,0,0,0,0.4,0,0,0.067,0.033,0,0
DL,DF,31,90,2,2,2,1,1,75,0,0,0,0,0.678,0.011,0.011,0.033,0,0,0.011,0.011,0,0.033,0.011,0.311,0.033,0,0.056,0,0,0
MC,MD,28,76,2,2,2,1,1,79.3,0.011,0,0.033,0,0.467,0.011,0.011,0.011,0,0,0.011,0,0.011,0,0.033,0.322,0.022,0,0.044,0.033,0,0
MC,MD,28,90,2,2,2,1,1,88.9,0.011,0,0,0,0.711,0.011,0.044,0.011,0,0,0.022,0.011,0,0,0.056,0.5,0,0,0.056,0.033,0,0
MC,MD,30,90,2,2,2,1,1,80.4,0.011,0,0,0.022,0.744,0.033,0.011,0.033,0,0.022,0.011,0.011,0,0,0,0.622,0,0,0.089,0.056,0,0
FWR,FW,25,90,2,2,2,1,1,72,0.011,0.011,0.011,0.011,0.567,0.011,0,0.011,0.011,0.011,0.033,0.011,0,0,0.033,0.278,0.1,0.022,0.022,0.022,0,0
FW,FW,36,90,2,2,2,1,1,50,0.067,0.044,0,0.156,0.444,0,0,0.022,0,0,0,0.011,0,0,0.056,0.244,0,0,0.022,0,0,0
FWL,FW,26,71,2,2,2,1,1,65,0.022,0,0,0,0.311,0.022,0,0,0,0.022,0,0,0,0,0.011,0.222,0,0,0.022,0,0,0
Sub,SUB,28,19,2,2,2,1,1,55.6,0.022,0,0,0.011,0.222,0,0.011,0,0,0,0.011,0,0,0,0,0.1,0.022,0.022,0.011,0,0,0
Sub,SUB,26,14,2,2,2,1,1,50,0,0,0.011,0.033,0.144,0,0,0,0,0,0.011,0,0,0,0.011,0.089,0.022,0.011,0,0,0,0
Sub,SUB,31,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,23,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,39,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,30,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,1,2,2,1,0,73,0,0,0,0,0.467,0,0,0.011,0,0,0,0.011,0,0,0,0.411,0,0,0.244,0.133,0,0
DR,DF,22,90,1,2,2,1,0,80,0.022,0.011,0.011,0.011,0.633,0,0,0.011,0,0.011,0,0,0,0,0,0.444,0.022,0.011,0.056,0.033,0,0
DC,DF,31,90,1,2,2,1,0,88.9,0,0,0,0.033,0.678,0,0,0.044,0.011,0,0,0.011,0,0,0,0.6,0,0,0.044,0.011,0,0
DC,DF,30,90,1,2,2,1,0,86.8,0,0,0.011,0.033,0.933,0.033,0.022,0.067,0.011,0,0,0,0,0,0,0.756,0,0,0.078,0.033,0,0
DL,DF,26,71,1,2,2,1,0,74.2,0.011,0,0.022,0,0.522,0,0,0.011,0,0,0,0.011,0,0.011,0,0.344,0.044,0.011,0.044,0.022,0,0
MC,MD,31,90,1,2,2,1,0,79.1,0.011,0,0.011,0.033,0.844,0.011,0,0.033,0,0.011,0,0,0,0.022,0,0.744,0,0,0.1,0.033,0,0
MC,MD,29,77,1,2,2,1,0,95.1,0,0,0.022,0,0.767,0,0,0.011,0.011,0,0,0.022,0,0,0,0.678,0,0,0.056,0.044,0,0
MC,MD,28,90,1,2,2,1,0,92.4,0.011,0.011,0.044,0,1.144,0.011,0.011,0,0.011,0.011,0.011,0,0,0.022,0,1.022,0.033,0,0.089,0.067,0,0
FWR,FW,29,88,1,2,2,1,0,73.5,0.122,0.056,0.033,0,0.667,0.022,0,0,0,0.022,0.022,0.022,0,0.011,0.022,0.378,0.011,0,0.022,0,0,0
FW,FW,25,90,1,2,2,1,0,96,0.044,0.033,0.011,0.022,0.478,0,0.011,0.011,0.011,0.033,0,0,0.011,0.056,0.011,0.278,0.022,0.011,0.011,0.011,0,0
FWL,FW,26,90,1,2,2,1,0,81.1,0.033,0,0.056,0.011,0.633,0,0,0.022,0,0.022,0.011,0.011,0,0.011,0.056,0.411,0.044,0.022,0.033,0.011,0,0
Sub,SUB,24,13,1,2,2,1,0,100,0.022,0.022,0.011,0,0.189,0.011,0,0.011,0,0.011,0,0,0,0,0,0.144,0,0,0,0,0,0
Sub,SUB,19,2,1,2,2,1,0,100,0,0,0.011,0,0.033,0,0,0.011,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0
Sub,SUB,25,19,1,2,2,1,0,81.8,0,0,0,0.011,0.178,0.011,0,0.033,0,0,0,0,0,0,0,0.122,0,0,0.022,0.011,0,0
Sub,SUB,24,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,32,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,32,90,2,1,1,1,2,45.7,0,0,0,0,0.6,0,0,0.011,0,0,0,0,0,0,0,0.389,0,0,0.367,0.156,0,0
DR,DF,30,90,2,1,1,1,2,65.7,0.011,0,0.011,0,0.756,0.022,0.033,0.056,0,0,0,0,0,0.022,0.011,0.389,0.056,0.011,0.1,0.044,0,0
DC,DF,30,90,2,1,1,1,2,87.5,0.022,0,0.011,0.033,0.467,0.067,0.011,0.033,0.011,0.022,0.011,0.011,0,0,0,0.267,0,0,0.056,0.033,0,0
DC,DF,27,90,2,1,1,1,2,93.6,0.022,0.011,0,0.033,0.556,0.033,0.011,0.044,0.011,0.011,0,0.022,0,0,0.011,0.344,0,0,0.078,0.056,0,0
DL,DF,34,65,2,1,1,1,2,75,0,0,0,0,0.411,0.033,0.011,0.044,0,0,0,0.011,0,0,0,0.178,0.022,0,0.022,0,0,0
MR,MD,32,90,2,1,1,1,2,80,0,0,0.011,0,0.278,0,0.011,0,0,0.011,0.011,0.011,0,0.022,0,0.167,0.022,0,0.011,0.011,0,0
MC,MD,30,90,2,1,1,1,2,89.3,0.011,0,0,0,0.389,0.011,0,0.011,0,0,0,0.011,0.011,0.011,0.011,0.311,0.011,0,0.044,0.044,0,0
MC,MD,29,90,2,1,1,1,2,70,0,0,0,0.011,0.444,0.044,0.033,0.011,0,0,0.011,0.011,0,0,0,0.333,0,0,0.078,0.056,0,0
ML,MD,29,18,2,1,1,1,2,33.3,0,0,0,0.011,0.044,0.011,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0
AMC,MD,27,90,2,1,1,1,2,88.9,0.044,0.011,0.011,0,0.556,0,0,0.011,0,0,0.022,0,0.022,0,0.011,0.4,0.044,0,0.022,0.011,0,0
FW,FW,28,65,2,1,1,1,2,72.7,0,0,0.011,0.022,0.211,0,0,0,0,0.033,0,0,0.011,0,0.044,0.122,0.022,0,0,0,0,0
Sub,SUB,30,25,2,1,1,1,2,50,0,0,0,0,0.089,0,0,0,0,0,0,0.011,0,0,0.011,0.044,0,0,0,0,0,0
Sub,SUB,26,72,2,1,1,1,2,66.7,0.011,0,0.033,0.011,0.544,0.011,0.011,0,0,0.011,0.022,0.022,0,0,0.011,0.267,0.122,0.044,0.089,0.033,0,0
Sub,SUB,30,25,2,1,1,1,2,55.6,0.011,0,0,0.067,0.122,0,0,0,0,0,0,0,0.011,0,0.011,0.1,0,0,0,0,0,0
Sub,SUB,29,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,33,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,34,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,26,90,1,2,2,1,2,62.1,0,0,0,0.022,0.5,0,0,0.022,0,0,0,0,0,0,0,0.322,0,0,0.133,0.011,0,0
DR,DF,31,27,1,2,2,1,2,71.4,0,0,0,0.044,0.2,0.011,0,0.022,0,0,0,0.011,0,0,0.011,0.078,0,0,0,0,0,0
DC,DF,30,90,1,2,2,1,2,96.7,0,0,0,0,1.144,0,0,0.044,0.011,0,0,0.011,0.011,0.011,0.044,1.011,0,0,0.067,0.044,0,0
DC,DF,32,90,1,2,2,1,2,97.7,0,0,0,0,1.011,0,0.011,0.011,0.011,0,0,0.011,0,0,0,0.944,0,0,0.033,0.022,0,0
DL,DF,26,90,1,2,2,1,2,78.6,0,0,0,0.011,0.678,0.067,0,0.022,0,0.033,0.011,0.022,0,0.022,0.011,0.311,0.078,0.011,0.056,0.033,0,0
DMC,DF,24,90,1,2,2,1,2,87.1,0,0,0.011,0.022,1.267,0.067,0.022,0.033,0,0.011,0.033,0,0,0.033,0.022,1.033,0,0,0.022,0.011,0,0
DMC,DF,25,90,1,2,2,1,2,84.5,0,0,0.011,0.033,1.178,0.033,0.011,0.044,0,0.022,0.022,0,0,0.033,0.022,0.933,0.011,0,0.089,0.044,0,0
AMR,MD,19,84,1,2,2,1,2,86.4,0.011,0,0,0,0.433,0.011,0,0.011,0,0.011,0,0.011,0,0.056,0.067,0.244,0,0,0,0,0,0
AMC,MD,29,90,1,2,2,1,2,86.9,0,0,0.022,0.011,0.933,0.022,0.011,0.011,0,0,0.011,0.022,0,0.056,0,0.678,0.056,0.011,0.056,0.044,0,0
AML,MD,33,88,1,2,2,1,2,80.9,0.033,0.011,0.022,0.011,0.689,0,0,0.011,0,0.022,0.033,0,0,0.011,0,0.522,0.056,0.011,0.033,0.022,0,0
FW,FW,25,90,1,2,2,1,2,87.9,0.044,0.011,0,0.022,0.511,0,0,0.011,0,0.011,0.011,0,0,0.033,0.033,0.367,0,0,0,0,0,0
Sub,SUB,27,63,1,2,2,1,2,85,0,0,0.011,0.022,0.656,0.033,0.011,0.022,0,0,0.022,0,0,0.011,0,0.444,0,0,0.022,0.011,0,0
Sub,SUB,31,2,1,2,2,1,2,100,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0
Sub,SUB,26,6,1,2,2,1,2,50,0,0,0,0,0.044,0,0,0.011,0.011,0,0,0,0,0,0,0.022,0,0,0.011,0.011,0,0
Sub,SUB,27,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,32,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,16,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,29,90,2,2,2,1,0,41.7,0,0,0,0,0.3,0,0,0.022,0,0,0,0,0,0,0,0.267,0,0,0.256,0.111,0,0
DR,DF,33,90,2,2,2,1,0,55.6,0,0,0.011,0.022,0.322,0.033,0.011,0.022,0,0,0,0,0,0,0,0.2,0.011,0,0.056,0.022,0,0
DC,DF,31,90,2,2,2,1,0,76.5,0,0,0,0.033,0.378,0.011,0,0.1,0,0,0.011,0.011,0,0,0.011,0.189,0,0,0.078,0.056,0,0
DC,DF,29,90,2,2,2,1,0,76.5,0.022,0.022,0.011,0.056,0.422,0.078,0,0.056,0.011,0,0,0,0,0.011,0,0.189,0,0,0.056,0.033,0,0
DL,DF,29,90,2,2,2,1,0,61.1,0.011,0.011,0,0.011,0.522,0.033,0.044,0.056,0,0.022,0,0.011,0,0.011,0,0.2,0.011,0,0.022,0,0.011,0
DMC,DF,30,86,2,2,2,1,0,73.7,0,0,0.011,0,0.333,0.011,0,0.022,0,0,0,0.011,0,0,0.011,0.211,0,0,0.044,0.022,0,0
DMC,DF,28,90,2,2,2,1,0,73.1,0,0,0,0,0.422,0.033,0.011,0,0,0.011,0.011,0,0,0.011,0.022,0.289,0,0,0.044,0.011,0,0
AMR,MD,29,90,2,2,2,1,0,66.7,0.011,0,0.033,0.011,0.589,0.033,0.011,0.011,0,0.022,0.033,0.044,0.011,0.033,0.033,0.167,0.122,0.044,0.033,0.022,0,0
AMC,MD,25,71,2,2,2,1,0,85.7,0.022,0,0,0.011,0.489,0.022,0.011,0.011,0,0,0.022,0.011,0,0.033,0.011,0.233,0.022,0,0.011,0.011,0,0
AML,MD,27,90,2,2,2,1,0,54.2,0.022,0.022,0.022,0.022,0.556,0.022,0.011,0.022,0,0.022,0.056,0,0.011,0.033,0.044,0.267,0.033,0.022,0.011,0,0,0
FW,FW,29,60,2,2,2,1,0,75,0,0,0.011,0,0.167,0.022,0,0.033,0,0.011,0,0,0.011,0.011,0,0.089,0,0,0,0,0,0
Sub,SUB,28,30,2,2,2,1,0,45.5,0.033,0.033,0.022,0.044,0.189,0.011,0,0,0,0,0,0.011,0,0,0.011,0.122,0,0,0,0,0,0
Sub,SUB,26,4,2,2,2,1,0,100,0.011,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0
Sub,SUB,25,19,2,2,2,1,0,100,0.011,0,0.011,0,0.111,0,0,0,0,0,0.011,0,0,0.022,0.011,0.011,0.011,0,0,0,0,0
Sub,SUB,36,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,26,90,1,2,2,1,1,68.2,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0.011,0.244,0,0,0.133,0.056,0,0
DR,DF,31,90,1,2,2,1,1,69.7,0.011,0,0,0,0.567,0,0.022,0.011,0.022,0.022,0.011,0,0,0.011,0.011,0.367,0,0,0.078,0.011,0,0
DC,DF,29,90,1,2,2,1,1,88.9,0,0,0.011,0,0.522,0.011,0.033,0.033,0.011,0,0,0,0,0,0,0.4,0,0,0.078,0.056,0,0
DC,DF,32,90,1,2,2,1,1,90.5,0,0,0,0,0.6,0.011,0.022,0.056,0.011,0,0,0,0,0.011,0,0.467,0,0,0.044,0.022,0,0
DL,DF,26,90,1,2,2,1,1,75.7,0.033,0.011,0,0,0.722,0.011,0.033,0.044,0.011,0.011,0,0,0,0,0.011,0.411,0.022,0,0.056,0.022,0,0
DMC,DF,25,90,1,2,2,1,1,78.7,0.011,0.011,0,0.011,0.678,0.044,0.022,0.022,0.011,0.022,0,0,0,0.011,0,0.522,0.022,0,0.056,0.022,0,0
DMC,DF,31,61,1,2,2,1,1,94.1,0,0,0,0,0.467,0.022,0.011,0.011,0.011,0.011,0,0.011,0,0,0,0.378,0,0,0.044,0.033,0,0
AMR,MD,33,70,1,2,2,1,1,75,0,0,0.011,0,0.422,0.011,0.022,0.011,0,0,0.033,0.011,0,0.011,0.033,0.222,0.033,0.011,0,0,0.011,0
AMC,MD,29,79,1,2,2,1,1,87.8,0.033,0.011,0.011,0.011,0.678,0.022,0,0,0,0.011,0.033,0.011,0,0.056,0.022,0.456,0.022,0.022,0.011,0,0.011,0.011
AML,MD,19,90,1,2,2,1,1,76,0,0,0.011,0,0.467,0,0.011,0,0,0.011,0.011,0.033,0.011,0.011,0.022,0.278,0.067,0.011,0.044,0.044,0,0
FW,FW,25,90,1,2,2,1,1,69.2,0.044,0.022,0.011,0.011,0.311,0,0,0,0.011,0.011,0.011,0.022,0.011,0,0.033,0.144,0,0,0,0,0,0
Sub,SUB,26,11,1,2,2,1,1,66.7,0,0,0,0,0.089,0.011,0,0,0,0,0,0,0,0,0.022,0.033,0,0,0.011,0,0,0
Sub,SUB,24,29,1,2,2,1,1,76,0,0,0,0,0.356,0.011,0.022,0,0,0.022,0.011,0.011,0,0.011,0,0.278,0,0,0.033,0.022,0,0
Sub,SUB,31,20,1,2,2,1,1,66.7,0,0,0.011,0,0.089,0,0,0,0,0,0,0,0,0,0.011,0.067,0.011,0,0,0,0,0
Sub,SUB,30,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,32,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,25,90,2,0,0,0,1,83.3,0,0,0,0.011,0.544,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.133,0.067,0,0
DR,DF,30,90,2,0,0,0,1,89.8,0,0,0.022,0.022,0.9,0.022,0.022,0.033,0.011,0.011,0,0,0,0,0,0.656,0.022,0,0.033,0.011,0,0
DC,DF,23,90,2,0,0,0,1,94.2,0,0,0,0.022,0.856,0,0.022,0.044,0,0.033,0,0,0,0,0,0.767,0,0,0.056,0.022,0,0
DC,DF,26,90,2,0,0,0,1,90.6,0,0,0,0,1.067,0.011,0.011,0.033,0,0,0,0.022,0,0.022,0,0.944,0,0,0.189,0.156,0,0
DL,DF,25,90,2,0,0,0,1,91.8,0,0,0,0,0.889,0.011,0.011,0,0,0.022,0.011,0,0,0,0.033,0.678,0.033,0.011,0.033,0.022,0,0
MC,MD,28,90,2,0,0,0,1,91.9,0.022,0,0.022,0.011,1.033,0.078,0,0,0,0.011,0.011,0.011,0,0.011,0.022,0.822,0,0,0.011,0.011,0,0
MC,MD,28,67,2,0,0,0,1,90.3,0.011,0.011,0.033,0,0.856,0.011,0.011,0,0,0.011,0,0,0,0.011,0.011,0.8,0,0,0.067,0.056,0.044,0.022
MC,MD,26,77,2,0,0,0,1,94.7,0.011,0,0.033,0.011,0.944,0.011,0.011,0.011,0,0,0,0.011,0,0,0.011,0.844,0,0,0.011,0.011,0,0
FWR,FW,31,90,2,0,0,0,1,93.3,0.056,0.022,0.011,0,0.922,0.022,0,0,0,0.011,0,0.056,0,0.033,0.011,0.667,0.044,0.011,0.033,0.033,0,0
FW,FW,32,90,2,0,0,0,1,83.3,0.067,0.022,0.033,0,0.4,0,0,0,0,0,0,0,0,0.022,0.033,0.267,0,0,0.011,0.011,0.011,0
FWL,FW,29,73,2,0,0,0,1,82.1,0.056,0.022,0.033,0,0.567,0,0,0,0,0,0.022,0.011,0,0,0.022,0.433,0.022,0.011,0.056,0.033,0,0
Sub,SUB,25,23,2,0,0,0,1,94.4,0,0,0,0,0.256,0,0.022,0,0.022,0.011,0,0,0,0,0,0.2,0,0,0.011,0.011,0,0
Sub,SUB,32,17,2,0,0,0,1,100,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0.011,0.067,0,0,0,0,0,0
Sub,SUB,23,13,2,0,0,0,1,73.3,0,0,0,0.022,0.233,0,0,0,0,0,0.022,0.011,0,0.022,0.011,0.167,0,0,0,0,0.011,0
Sub,SUB,38,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,32,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,33,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,32,90,1,2,2,1,0,79,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0.089,0.044,0,0
DR,DF,27,90,1,2,2,1,0,86.4,0.011,0.011,0.011,0,1.089,0.011,0.011,0.033,0,0.011,0,0.011,0,0.022,0.011,0.733,0.133,0.011,0.067,0.022,0,0
DC,DF,30,90,1,2,2,1,0,88.1,0,0,0,0.044,1.1,0.033,0.011,0.067,0,0.011,0,0.011,0,0,0.011,0.933,0,0,0.156,0.078,0,0
DC,DF,25,90,1,2,2,1,0,95.9,0,0,0,0.011,0.956,0.033,0.022,0.056,0.011,0.011,0.011,0,0,0,0,0.811,0,0,0.078,0.056,0,0
DL,DF,26,70,1,2,2,1,0,81.3,0,0,0.011,0,0.833,0.022,0,0.033,0.011,0.011,0.011,0.011,0,0.011,0,0.533,0.044,0.022,0.044,0.011,0.011,0.011
MC,MD,31,90,1,2,2,1,0,91.6,0.011,0,0,0.011,1.033,0.044,0.011,0.022,0,0,0,0.011,0,0,0.011,0.922,0,0,0.089,0.056,0,0
MC,MD,29,90,1,2,2,1,0,96.8,0.011,0,0.011,0,1.167,0.022,0.022,0.011,0,0,0.011,0,0,0.033,0.011,1.033,0,0,0.056,0.044,0,0
MC,MD,28,81,1,2,2,1,0,89.3,0.011,0,0.011,0,1.322,0.067,0.044,0,0,0,0.011,0.022,0,0.011,0.022,1.033,0.056,0.011,0.122,0.1,0,0
FWR,FW,29,60,1,2,2,1,0,85.7,0,0,0.011,0,0.444,0.011,0.011,0,0,0.011,0,0.011,0,0,0.033,0.311,0.044,0,0.022,0,0.022,0
FW,FW,25,90,1,2,2,1,0,81.3,0.078,0.033,0,0.022,0.344,0,0,0.011,0,0,0.011,0.011,0,0.033,0,0.178,0,0,0.011,0.011,0,0
FWL,FW,19,90,1,2,2,1,0,78.1,0.011,0.011,0.011,0.011,0.711,0.022,0.033,0.011,0,0.011,0,0.011,0.011,0.044,0.033,0.456,0.044,0.011,0.011,0,0,0
Sub,SUB,26,20,1,2,2,1,0,57.1,0.011,0,0.022,0,0.156,0.011,0,0,0,0,0.011,0.011,0,0,0.011,0.078,0.011,0.011,0.011,0,0,0
